DataId,Indicator,Value,Precision,SurveyYear,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicCategory,CharacteristicLabel,IsPreferred,SDRID,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
456199,Population with an improved sanitation facility,96,1,2016,WS_TLET_P_IMP,250262010,I,1000,Total,Total,TRUE,WSTLETPIMP,37205,37925,NA,NA,NA
456201,Population with a flush or pour flush toilet to a piped sewer system,54.3,1,2016,WS_TLET_P_FSW,250262020,I,1000,Total,Total,TRUE,WSTLETPFSW,37205,37925,NA,NA,NA
456200,Population with a flush or pour flush toilet to a septic tank,1.4,1,2016,WS_TLET_P_FSP,250262030,I,1000,Total,Total,TRUE,WSTLETPFSP,37205,37925,NA,NA,NA
456202,Population with a flush or pour flush toilet to a pit latrine,0.9,1,2016,WS_TLET_P_FPT,250262040,I,1000,Total,Total,TRUE,WSTLETPFPT,37205,37925,NA,NA,NA
456196,Population with a ventilated improved pit latrine (VIP),28.1,1,2016,WS_TLET_P_VIP,250262050,I,1000,Total,Total,TRUE,WSTLETPVIP,37205,37925,NA,NA,NA
456197,Population with a pit latrine with a slab,9.9,1,2016,WS_TLET_P_PSL,250262060,I,1000,Total,Total,TRUE,WSTLETPPSL,37205,37925,NA,NA,NA
456198,Population with a composting toilet,1,1,2016,WS_TLET_P_COM,250262070,I,1000,Total,Total,TRUE,WSTLETPCOM,37205,37925,NA,NA,NA
456204,Population with an unimproved sanitation facility,1.7,1,2016,WS_TLET_P_NIM,250262150,I,1000,Total,Total,TRUE,WSTLETPNIM,37205,37925,NA,NA,NA
456206,"Population with a flush or pour flush toilet not to a sewer, septic tank or pit latrine",0.4,1,2016,WS_TLET_P_NFL,250262170,I,1000,Total,Total,TRUE,WSTLETPNFL,37205,37925,NA,NA,NA
456208,Population with a bucket toilet,1.4,1,2016,WS_TLET_P_NBK,250262190,I,1000,Total,Total,TRUE,WSTLETPNBK,37205,37925,NA,NA,NA
456210,Population using open defecation,2.2,1,2016,WS_TLET_P_NFC,250262210,I,1000,Total,Total,TRUE,WSTLETPNFC,37205,37925,NA,NA,NA
456205,Population total,100,1,2016,WS_TLET_P_TOT,250262230,T,1000,Total,Total,TRUE,WSTLETPTOT,37205,37925,NA,NA,NA
456207,Number of persons,37205,0,2016,WS_TLET_P_NUM,250262240,D,1000,Total,Total,TRUE,WSTLETPNUM,NA,37925,NA,NA,NA
197793,Number of persons (unweighted),37925,0,2016,WS_TLET_P_UNW,250262250,U,1000,Total,Total,TRUE,WSTLETPUNW,37205,NA,NA,NA,NA
