Indicator,Value,SurveyYear,CharacteristicCategory,ByVariableLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted
Number of women with a live birth (or stillbirth) in the last two (or three/five) years,4122,1998,Total,Five years preceding the survey,DHS,NA,4148
Number of women with a live birth (or stillbirth) in the last two (or three/five) years,2010,1998,Total,Two years preceding the survey,DHS,NA,2041
Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),2903,1998,Total,Three years preceding the survey,DHS,2871,NA
Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),4148,1998,Total,Five years preceding the survey,DHS,4122,NA
Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),2041,1998,Total,Two years preceding the survey,DHS,2010,NA
Place of delivery: Public sector,76.5,1998,Total,Three years preceding the survey,DHS,3072,3119
Place of delivery: Public sector,74.9,1998,Total,Five years preceding the survey,DHS,4992,5066
Place of delivery: Public sector,77.6,1998,Total,Two years preceding the survey,DHS,2081,2113
Place of delivery: Private sector,8,1998,Total,Three years preceding the survey,DHS,3072,3119
Place of delivery: Private sector,8.5,1998,Total,Five years preceding the survey,DHS,4992,5066
Place of delivery: Private sector,7.5,1998,Total,Two years preceding the survey,DHS,2081,2113
Place of delivery: At home,13.8,1998,Total,Three years preceding the survey,DHS,3072,3119
Place of delivery: At home,14.3,1998,Total,Five years preceding the survey,DHS,4992,5066
Place of delivery: At home,13.5,1998,Total,Two years preceding the survey,DHS,2081,2113
Place of delivery: Other,0.1,1998,Total,Three years preceding the survey,DHS,3072,3119
Place of delivery: Other,0.2,1998,Total,Five years preceding the survey,DHS,4992,5066
Place of delivery: Other,0.1,1998,Total,Two years preceding the survey,DHS,2081,2113
Place of delivery: don't know or missing,1.6,1998,Total,Three years preceding the survey,DHS,3072,3119
Place of delivery: don't know or missing,2.1,1998,Total,Five years preceding the survey,DHS,4992,5066
Place of delivery: don't know or missing,1.2,1998,Total,Two years preceding the survey,DHS,2081,2113
Place of delivery: Total,100,1998,Total,Three years preceding the survey,DHS,3072,3119
Place of delivery: Total,100,1998,Total,Five years preceding the survey,DHS,4992,5066
Place of delivery: Total,100,1998,Total,Two years preceding the survey,DHS,2081,2113
Place of delivery: Health facility,84.5,1998,Total,Three years preceding the survey,DHS,3072,3119
Place of delivery: Health facility,83.4,1998,Total,Five years preceding the survey,DHS,4992,5066
Place of delivery: Health facility,85.2,1998,Total,Two years preceding the survey,DHS,2081,2113
Number of live births (or stillbirths) in the last two (or three/five) years,3072,1998,Total,Three years preceding the survey,DHS,NA,3119
Number of live births (or stillbirths) in the last two (or three/five) years,4992,1998,Total,Five years preceding the survey,DHS,NA,5066
Number of live births (or stillbirths) in the last two (or three/five) years,2081,1998,Total,Two years preceding the survey,DHS,NA,2113
Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),3119,1998,Total,Three years preceding the survey,DHS,3072,NA
Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),5066,1998,Total,Five years preceding the survey,DHS,4992,NA
Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),2113,1998,Total,Two years preceding the survey,DHS,2081,NA
Assistance during delivery: Doctor,29.3,1998,Total,Three years preceding the survey,DHS,3072,3119
Assistance during delivery: Doctor,30,1998,Total,Five years preceding the survey,DHS,4992,5066
Assistance during delivery: Doctor,28.2,1998,Total,Two years preceding the survey,DHS,2081,2113
Assistance during delivery: Nurse/midwife,56.1,1998,Total,Three years preceding the survey,DHS,3072,3119
Assistance during delivery: Nurse/midwife,54.4,1998,Total,Five years preceding the survey,DHS,4992,5066
Assistance during delivery: Nurse/midwife,58.1,1998,Total,Two years preceding the survey,DHS,2081,2113
Assistance during delivery: Traditional birth attendant,1.4,1998,Total,Three years preceding the survey,DHS,3072,3119
Assistance during delivery: Traditional birth attendant,1.4,1998,Total,Five years preceding the survey,DHS,4992,5066
Assistance during delivery: Traditional birth attendant,1.2,1998,Total,Two years preceding the survey,DHS,2081,2113
Assistance during delivery: Relative or other,9.9,1998,Total,Three years preceding the survey,DHS,3072,3119
Assistance during delivery: Relative or other,10.5,1998,Total,Five years preceding the survey,DHS,4992,5066
Assistance during delivery: Relative or other,9.7,1998,Total,Two years preceding the survey,DHS,2081,2113
Assistance during delivery: No one,2.1,1998,Total,Three years preceding the survey,DHS,3072,3119
Assistance during delivery: No one,2.1,1998,Total,Five years preceding the survey,DHS,4992,5066
Assistance during delivery: No one,1.8,1998,Total,Two years preceding the survey,DHS,2081,2113
Assistance during delivery: don't know or missing,1.2,1998,Total,Three years preceding the survey,DHS,3072,3119
Assistance during delivery: don't know or missing,1.7,1998,Total,Five years preceding the survey,DHS,4992,5066
Assistance during delivery: don't know or missing,0.9,1998,Total,Two years preceding the survey,DHS,2081,2113
Assistance during delivery: Total,100,1998,Total,Three years preceding the survey,DHS,3072,3119
Assistance during delivery: Total,100,1998,Total,Five years preceding the survey,DHS,4992,5066
Assistance during delivery: Total,100,1998,Total,Two years preceding the survey,DHS,2081,2113
Assistance during delivery from a skilled provider,85.5,1998,Total,Three years preceding the survey,DHS,3072,3119
Assistance during delivery from a skilled provider,84.4,1998,Total,Five years preceding the survey,DHS,4992,5066
Assistance during delivery from a skilled provider,86.4,1998,Total,Two years preceding the survey,DHS,2081,2113
Delivery by cesarean section,15.4,1998,Total,Three years preceding the survey,DHS,3072,3119
Delivery by cesarean section,15.5,1998,Total,Five years preceding the survey,DHS,4992,5066
Delivery by cesarean section,15.1,1998,Total,Two years preceding the survey,DHS,2081,2113
Children with symptoms of ARI,21.9,1998,Total,Three years preceding the survey,DHS,2912,2958
Children with symptoms of ARI,19.3,1998,Total,Five years preceding the survey,DHS,4740,4797
Number of children born in the last five (or three) years,2912,1998,Total,Three years preceding the survey,DHS,NA,2958
Number of children born in the last five (or three) years,4740,1998,Total,Five years preceding the survey,DHS,NA,4797
Number of children born in the last five (or three) years (unweighted),2958,1998,Total,Three years preceding the survey,DHS,2912,NA
Number of children born in the last five (or three) years (unweighted),4797,1998,Total,Five years preceding the survey,DHS,4740,NA
Children with ARI for whom advice or treatment was sought,81.9,1998,Total,Three years preceding the survey,DHS,637,607
Children with ARI for whom advice or treatment was sought,78.2,1998,Total,Five years preceding the survey,DHS,913,862
Number of children with symptoms of ARI born in the last five (or three) years,637,1998,Total,Three years preceding the survey,DHS,NA,607
Number of children with symptoms of ARI born in the last five (or three) years,913,1998,Total,Five years preceding the survey,DHS,NA,862
Number of children with symptoms of ARI born in the last five (or three) years (unweighted),607,1998,Total,Three years preceding the survey,DHS,637,NA
Number of children with symptoms of ARI born in the last five (or three) years (unweighted),862,1998,Total,Five years preceding the survey,DHS,913,NA
Treatment of diarrhea: Advice or treatment was sought,62.1,1998,Total,Three years preceding the survey,DHS,508,523
Treatment of diarrhea: Advice or treatment was sought,60.6,1998,Total,Five years preceding the survey,DHS,627,634
Treatment of diarrhea: Oral rehydration solution (ORS),52.7,1998,Total,Three years preceding the survey,DHS,508,523
Treatment of diarrhea: Oral rehydration solution (ORS),51.2,1998,Total,Five years preceding the survey,DHS,627,634
Treatment of diarrhea: Recommended home fluids (RHF) at home,70.6,1998,Total,Three years preceding the survey,DHS,508,523
Treatment of diarrhea: Recommended home fluids (RHF) at home,68.6,1998,Total,Five years preceding the survey,DHS,627,634
Treatment of diarrhea: Either ORS or RHF,83.1,1998,Total,Three years preceding the survey,DHS,508,523
Treatment of diarrhea: Either ORS or RHF,81,1998,Total,Five years preceding the survey,DHS,627,634
Treatment of diarrhea: Increased fluids,56.6,1998,Total,Three years preceding the survey,DHS,508,523
Treatment of diarrhea: Increased fluids,57.1,1998,Total,Five years preceding the survey,DHS,627,634
Treatment of diarrhea: ORT or increased fluids,90.2,1998,Total,Three years preceding the survey,DHS,508,523
Treatment of diarrhea: ORT or increased fluids,89.1,1998,Total,Five years preceding the survey,DHS,627,634
"Treatment of diarrhea: No ORS, RHF or increased fluids",9.8,1998,Total,Three years preceding the survey,DHS,508,523
"Treatment of diarrhea: No ORS, RHF or increased fluids",10.9,1998,Total,Five years preceding the survey,DHS,627,634
Treatment of diarrhea: Intravenous solution,0.5,1998,Total,Three years preceding the survey,DHS,508,523
Treatment of diarrhea: Intravenous solution,0.4,1998,Total,Five years preceding the survey,DHS,627,634
Treatment of diarrhea: Home remedy - other,87.6,1998,Total,Three years preceding the survey,DHS,508,523
Treatment of diarrhea: Home remedy - other,86.3,1998,Total,Five years preceding the survey,DHS,627,634
Treatment of diarrhea: No treatment,0.6,1998,Total,Three years preceding the survey,DHS,508,523
Treatment of diarrhea: No treatment,0.5,1998,Total,Five years preceding the survey,DHS,627,634
Treatment of diarrhea: don't know or missing,0.9,1998,Total,Three years preceding the survey,DHS,508,523
Treatment of diarrhea: don't know or missing,1.7,1998,Total,Five years preceding the survey,DHS,627,634
Number of children born in the last five (or three) years,508,1998,Total,Three years preceding the survey,DHS,NA,523
Number of children born in the last five (or three) years,627,1998,Total,Five years preceding the survey,DHS,NA,634
Number of children born in the last five (or three) years (unweighted),523,1998,Total,Three years preceding the survey,DHS,508,NA
Number of children born in the last five (or three) years (unweighted),634,1998,Total,Five years preceding the survey,DHS,627,NA
Antenatal care provider: Doctor,17.1,2016,Total,Three years preceding the survey,DHS,1962,1977
Antenatal care provider: Doctor,17.1,2016,Total,Five years preceding the survey,DHS,3036,3036
Antenatal care provider: Doctor,16.1,2016,Total,Two years preceding the survey,DHS,1386,1376
Antenatal care provider: Nurse/midwife,76.8,2016,Total,Three years preceding the survey,DHS,1962,1977
Antenatal care provider: Nurse/midwife,76.6,2016,Total,Five years preceding the survey,DHS,3036,3036
Antenatal care provider: Nurse/midwife,77,2016,Total,Two years preceding the survey,DHS,1386,1376
Antenatal care provider: Other,0.6,2016,Total,Three years preceding the survey,DHS,1962,1977
Antenatal care provider: Other,0.6,2016,Total,Five years preceding the survey,DHS,3036,3036
Antenatal care provider: Other,0.5,2016,Total,Two years preceding the survey,DHS,1386,1376
No antenatal care,5.5,2016,Total,Three years preceding the survey,DHS,1962,1977
No antenatal care,5.7,2016,Total,Five years preceding the survey,DHS,3036,3036
No antenatal care,6.5,2016,Total,Two years preceding the survey,DHS,1386,1376
Antenatal care: Total,100,2016,Total,Three years preceding the survey,DHS,1962,1977
Antenatal care: Total,100,2016,Total,Five years preceding the survey,DHS,3036,3036
Antenatal care: Total,100,2016,Total,Two years preceding the survey,DHS,1386,1376
Antenatal care from a skilled provider,93.9,2016,Total,Three years preceding the survey,DHS,1962,1977
Antenatal care from a skilled provider,93.7,2016,Total,Five years preceding the survey,DHS,3036,3036
Antenatal care from a skilled provider,93.1,2016,Total,Two years preceding the survey,DHS,1386,1376
Number of women with a live birth (or stillbirth) in the last two (or three/five) years,1962,2016,Total,Three years preceding the survey,DHS,NA,1977
Number of women with a live birth (or stillbirth) in the last two (or three/five) years,3036,2016,Total,Five years preceding the survey,DHS,NA,3036
Number of women with a live birth (or stillbirth) in the last two (or three/five) years,1386,2016,Total,Two years preceding the survey,DHS,NA,1376
Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),1977,2016,Total,Three years preceding the survey,DHS,1962,NA
Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),3036,2016,Total,Five years preceding the survey,DHS,3036,NA
Number of women with a live birth (or stillbirth) in the last two (or three/five) years (unweighted),1376,2016,Total,Two years preceding the survey,DHS,1386,NA
Place of delivery: Public sector,88.3,2016,Total,Three years preceding the survey,DHS,2091,2105
Place of delivery: Public sector,87.4,2016,Total,Five years preceding the survey,DHS,3572,3548
Place of delivery: Public sector,88.4,2016,Total,Two years preceding the survey,DHS,1414,1406
Place of delivery: Private sector,7.7,2016,Total,Three years preceding the survey,DHS,2091,2105
Place of delivery: Private sector,8.5,2016,Total,Five years preceding the survey,DHS,3572,3548
Place of delivery: Private sector,7.7,2016,Total,Two years preceding the survey,DHS,1414,1406
Place of delivery: At home,3.6,2016,Total,Three years preceding the survey,DHS,2091,2105
Place of delivery: At home,3.7,2016,Total,Five years preceding the survey,DHS,3572,3548
Place of delivery: At home,3.4,2016,Total,Two years preceding the survey,DHS,1414,1406
Place of delivery: Other,0.3,2016,Total,Three years preceding the survey,DHS,2091,2105
Place of delivery: Other,0.4,2016,Total,Five years preceding the survey,DHS,3572,3548
Place of delivery: Other,0.5,2016,Total,Two years preceding the survey,DHS,1414,1406
Place of delivery: Total,100,2016,Total,Three years preceding the survey,DHS,2091,2105
Place of delivery: Total,100,2016,Total,Five years preceding the survey,DHS,3572,3548
Place of delivery: Total,100,2016,Total,Two years preceding the survey,DHS,1414,1406
Place of delivery: Health facility,96,2016,Total,Three years preceding the survey,DHS,2091,2105
Place of delivery: Health facility,95.9,2016,Total,Five years preceding the survey,DHS,3572,3548
Place of delivery: Health facility,96.1,2016,Total,Two years preceding the survey,DHS,1414,1406
Number of live births (or stillbirths) in the last two (or three/five) years,2091,2016,Total,Three years preceding the survey,DHS,NA,2105
Number of live births (or stillbirths) in the last two (or three/five) years,3572,2016,Total,Five years preceding the survey,DHS,NA,3548
Number of live births (or stillbirths) in the last two (or three/five) years,1414,2016,Total,Two years preceding the survey,DHS,NA,1406
Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),2105,2016,Total,Three years preceding the survey,DHS,2091,NA
Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),3548,2016,Total,Five years preceding the survey,DHS,3572,NA
Number of live births (or stillbirths) in the last two (or three/five) years (unweighted),1406,2016,Total,Two years preceding the survey,DHS,1414,NA
Assistance during delivery: Doctor,29.1,2016,Total,Three years preceding the survey,DHS,2091,2105
Assistance during delivery: Doctor,28.7,2016,Total,Five years preceding the survey,DHS,3572,3548
Assistance during delivery: Doctor,29.5,2016,Total,Two years preceding the survey,DHS,1414,1406
Assistance during delivery: Nurse/midwife,67.6,2016,Total,Three years preceding the survey,DHS,2091,2105
Assistance during delivery: Nurse/midwife,68,2016,Total,Five years preceding the survey,DHS,3572,3548
Assistance during delivery: Nurse/midwife,67.6,2016,Total,Two years preceding the survey,DHS,1414,1406
Assistance during delivery: Traditional birth attendant,0.2,2016,Total,Three years preceding the survey,DHS,2091,2105
Assistance during delivery: Traditional birth attendant,0.1,2016,Total,Five years preceding the survey,DHS,3572,3548
Assistance during delivery: Traditional birth attendant,0.2,2016,Total,Two years preceding the survey,DHS,1414,1406
Assistance during delivery: Relative or other,1.6,2016,Total,Three years preceding the survey,DHS,2091,2105
Assistance during delivery: Relative or other,1.9,2016,Total,Five years preceding the survey,DHS,3572,3548
Assistance during delivery: Relative or other,1.8,2016,Total,Two years preceding the survey,DHS,1414,1406
Assistance during delivery: No one,1.5,2016,Total,Three years preceding the survey,DHS,2091,2105
Assistance during delivery: No one,1.2,2016,Total,Five years preceding the survey,DHS,3572,3548
Assistance during delivery: No one,0.9,2016,Total,Two years preceding the survey,DHS,1414,1406
Assistance during delivery: Total,100,2016,Total,Three years preceding the survey,DHS,2091,2105
Assistance during delivery: Total,100,2016,Total,Five years preceding the survey,DHS,3572,3548
Assistance during delivery: Total,100,2016,Total,Two years preceding the survey,DHS,1414,1406
Assistance during delivery from a skilled provider,96.7,2016,Total,Three years preceding the survey,DHS,2091,2105
Assistance during delivery from a skilled provider,96.7,2016,Total,Five years preceding the survey,DHS,3572,3548
Assistance during delivery from a skilled provider,97.1,2016,Total,Two years preceding the survey,DHS,1414,1406
Delivery by cesarean section,24.9,2016,Total,Three years preceding the survey,DHS,2091,2105
Delivery by cesarean section,24.2,2016,Total,Five years preceding the survey,DHS,3572,3548
Delivery by cesarean section,25.3,2016,Total,Two years preceding the survey,DHS,1414,1406
Provider of mothers' first postnatal checkup: Doctor/nurse/midwife,83.2,2016,Total,NA,DHS,1386,1376
Provider of mothers' first postnatal checkup: Community health worker,0.2,2016,Total,NA,DHS,1386,1376
Provider of mothers' first postnatal checkup: Traditional birth attendant,0.2,2016,Total,NA,DHS,1386,1376
No postnatal checkup for mother within first two days of birth,16.4,2016,Total,NA,DHS,1386,1376
Provider of mothers' first postnatal checkup: Total,100,2016,Total,NA,DHS,1386,1376
Number of mothers,1386,2016,Total,NA,DHS,NA,1376
Number of mothers (unweighted),1376,2016,Total,NA,DHS,1386,NA
Provider of newborns' first postnatal checkup: Doctor/nurse/midwife,86.2,2016,Total,NA,DHS,1386,1376
Provider of newborns' first postnatal checkup: Community health worker,0,2016,Total,NA,DHS,1386,1376
No postnatal checkup for newborn within first two days of birth,13.8,2016,Total,NA,DHS,1386,1376
Provider of newborns' first postnatal checkup: Total,100,2016,Total,NA,DHS,1386,1376
Number of newborns,1386,2016,Total,NA,DHS,NA,1376
Number of newborns (unweighted),1376,2016,Total,NA,DHS,1386,NA
Children with symptoms of ARI,3.4,2016,Total,Three years preceding the survey,DHS,2025,2026
Children with symptoms of ARI,3.1,2016,Total,Five years preceding the survey,DHS,3444,3413
Number of children born in the last five (or three) years,2025,2016,Total,Three years preceding the survey,DHS,NA,2026
Number of children born in the last five (or three) years,3444,2016,Total,Five years preceding the survey,DHS,NA,3413
Number of children born in the last five (or three) years (unweighted),2026,2016,Total,Three years preceding the survey,DHS,2025,NA
Number of children born in the last five (or three) years (unweighted),3413,2016,Total,Five years preceding the survey,DHS,3444,NA
Children with ARI for whom advice or treatment was sought,96.9,2016,Total,Three years preceding the survey,DHS,68,59
Children with ARI for whom advice or treatment was sought,87.6,2016,Total,Five years preceding the survey,DHS,107,94
Children with symptoms of ARI who received antibiotics,46.7,2016,Total,Three years preceding the survey,DHS,68,59
Children with symptoms of ARI who received antibiotics,42,2016,Total,Five years preceding the survey,DHS,107,94
Number of children with symptoms of ARI born in the last five (or three) years,68,2016,Total,Three years preceding the survey,DHS,NA,59
Number of children with symptoms of ARI born in the last five (or three) years,107,2016,Total,Five years preceding the survey,DHS,NA,94
Number of children with symptoms of ARI born in the last five (or three) years (unweighted),59,2016,Total,Three years preceding the survey,DHS,68,NA
Number of children with symptoms of ARI born in the last five (or three) years (unweighted),94,2016,Total,Five years preceding the survey,DHS,107,NA
Children with fever for whom advice or treatment was sought,66.8,2016,Total,Three years preceding the survey,DHS,422,410
Children with fever for whom advice or treatment was sought,68.4,2016,Total,Five years preceding the survey,DHS,679,647
Child took antimalarial drugs for fever,0.2,2016,Total,Three years preceding the survey,DHS,422,410
Child took antimalarial drugs for fever,0.5,2016,Total,Five years preceding the survey,DHS,679,647
Child took antibiotic drugs for fever,29.2,2016,Total,Three years preceding the survey,DHS,422,410
Child took antibiotic drugs for fever,30.3,2016,Total,Five years preceding the survey,DHS,679,647
Number of children with fever in the last two weeks,422,2016,Total,Three years preceding the survey,DHS,NA,410
Number of children with fever in the last two weeks,679,2016,Total,Five years preceding the survey,DHS,NA,647
Number of children with fever in the last two weeks (unweighted),410,2016,Total,Three years preceding the survey,DHS,422,NA
Number of children with fever in the last two weeks (unweighted),647,2016,Total,Five years preceding the survey,DHS,679,NA
Treatment of diarrhea: Advice or treatment was sought,59.2,2016,Total,Three years preceding the survey,DHS,246,256
Treatment of diarrhea: Advice or treatment was sought,63,2016,Total,Five years preceding the survey,DHS,356,350
Treatment of diarrhea: Oral rehydration solution (ORS),46.5,2016,Total,Three years preceding the survey,DHS,246,256
Treatment of diarrhea: Oral rehydration solution (ORS),51.4,2016,Total,Five years preceding the survey,DHS,356,350
Treatment of diarrhea: Recommended home fluids (RHF) at home,67.2,2016,Total,Three years preceding the survey,DHS,246,256
Treatment of diarrhea: Recommended home fluids (RHF) at home,72.5,2016,Total,Five years preceding the survey,DHS,356,350
Treatment of diarrhea: Either ORS or RHF,75.4,2016,Total,Three years preceding the survey,DHS,246,256
Treatment of diarrhea: Either ORS or RHF,80.5,2016,Total,Five years preceding the survey,DHS,356,350
Treatment of diarrhea: Zinc supplements,33.7,2016,Total,Three years preceding the survey,DHS,246,256
Treatment of diarrhea: Zinc supplements,36.8,2016,Total,Five years preceding the survey,DHS,356,350
Treatment of diarrhea: Increased fluids,14.6,2016,Total,Three years preceding the survey,DHS,246,256
Treatment of diarrhea: Increased fluids,15,2016,Total,Five years preceding the survey,DHS,356,350
Treatment of diarrhea: ORT or increased fluids,79.2,2016,Total,Three years preceding the survey,DHS,246,256
Treatment of diarrhea: ORT or increased fluids,83.3,2016,Total,Five years preceding the survey,DHS,356,350
"Treatment of diarrhea: No ORS, RHF or increased fluids",20.8,2016,Total,Three years preceding the survey,DHS,246,256
"Treatment of diarrhea: No ORS, RHF or increased fluids",16.7,2016,Total,Five years preceding the survey,DHS,356,350
Treatment of diarrhea: Antibiotics,7.2,2016,Total,Three years preceding the survey,DHS,246,256
Treatment of diarrhea: Antibiotics,10.6,2016,Total,Five years preceding the survey,DHS,356,350
Treatment of diarrhea: Antimotility drugs,2.4,2016,Total,Three years preceding the survey,DHS,246,256
Treatment of diarrhea: Antimotility drugs,1.8,2016,Total,Five years preceding the survey,DHS,356,350
Treatment of diarrhea: Intravenous solution,0.2,2016,Total,Three years preceding the survey,DHS,246,256
Treatment of diarrhea: Intravenous solution,0.6,2016,Total,Five years preceding the survey,DHS,356,350
Treatment of diarrhea: Injection,0.5,2016,Total,Three years preceding the survey,DHS,246,256
Treatment of diarrhea: Injection,1.1,2016,Total,Five years preceding the survey,DHS,356,350
Treatment of diarrhea: Home remedy - other,9.1,2016,Total,Three years preceding the survey,DHS,246,256
Treatment of diarrhea: Home remedy - other,10.3,2016,Total,Five years preceding the survey,DHS,356,350
Treatment of diarrhea: No treatment,16.2,2016,Total,Three years preceding the survey,DHS,246,256
Treatment of diarrhea: No treatment,12.1,2016,Total,Five years preceding the survey,DHS,356,350
Number of children born in the last five (or three) years,246,2016,Total,Three years preceding the survey,DHS,NA,256
Number of children born in the last five (or three) years,356,2016,Total,Five years preceding the survey,DHS,NA,350
Number of children born in the last five (or three) years (unweighted),256,2016,Total,Three years preceding the survey,DHS,246,NA
Number of children born in the last five (or three) years (unweighted),350,2016,Total,Five years preceding the survey,DHS,356,NA
