Indicator,Value,SurveyYear,CharacteristicCategory,ByVariableLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted
Number of young women age 18-24,1984,2016,Total,NA,DHS,NA,1995
Number of young women age 18-24 (unweighted),1995,2016,Total,NA,DHS,15,NA
Sex before the age of 15 [Men],14.6,2016,Total,NA,DHS,1235,1307
Number of young men,1235,2016,Total,NA,DHS,NA,1307
Number of young men (unweighted),1307,2016,Total,NA,DHS,66,NA
Sex before the age of 18 [Men],66.2,2016,Total,NA,DHS,848,888
Number of young men age 18-24,848,2016,Total,NA,DHS,NA,888
Number of young men age 18-24 (unweighted),888,2016,Total,NA,DHS,37,NA
Young women never having sexual intercourse,37.4,2016,Total,NA,DHS,2508,2621
Young women having premarital sex in last year,57.1,2016,Total,NA,DHS,2508,2621
Number of never-married young women,2508,2016,Total,NA,DHS,NA,2621
Number of never-married young women (unweighted),2621,2016,Total,NA,DHS,2508,NA
Young women using a condom during premarital sex,62.7,2016,Total,NA,DHS,1431,1471
Number of never-married young women who had sex in the past year,1431,2016,Total,NA,DHS,NA,1471
Number of never-married young women who had sex in the past year (unweighted),1471,2016,Total,NA,DHS,1431,NA
Young men never having sexual intercourse,30.7,2016,Total,NA,DHS,1191,1268
Young men having premarital sex in last year,62.5,2016,Total,NA,DHS,1191,1268
Number of never-married men,1191,2016,Total,NA,DHS,NA,1268
Number of never-married men (unweighted),1268,2016,Total,NA,DHS,1191,NA
Young men using a condom during premarital sex,75.9,2016,Total,NA,DHS,744,783
Number of men,744,2016,Total,NA,DHS,NA,783
Number of men (unweighted),783,2016,Total,NA,DHS,744,NA
Young women having multiple partners in last year,4.6,2016,Total,NA,DHS,2842,2913
Number of young women (unweighted),2913,2016,Total,NA,DHS,2842,NA
Sexually active young women having multiple partners in last year,7.5,2016,Total,NA,DHS,1757,1754
Number of sexually active young women,1757,2016,Total,NA,DHS,NA,1754
Number of sexually active young women (unweighted),1754,2016,Total,NA,DHS,1757,NA
Young women using a condom at last sexual intercourse,61.4,2016,Total,NA,DHS,132,153
Number of young women,132,2016,Total,NA,DHS,NA,153
Number of young women (unweighted),153,2016,Total,NA,DHS,132,NA
Young men having multiple partners in last year,20.7,2016,Total,NA,DHS,1235,1307
Number of young men (unweighted),1307,2016,Total,NA,DHS,1235,NA
Sexually active young men having multiple partners in last year,32.4,2016,Total,NA,DHS,788,820
Number of sexually active young men,788,2016,Total,NA,DHS,NA,820
Number of sexually active young men (unweighted),820,2016,Total,NA,DHS,788,NA
Young men using a condom at last sexual intercourse,72.9,2016,Total,NA,DHS,256,244
Number of young men,256,2016,Total,NA,DHS,NA,244
Number of young men (unweighted),244,2016,Total,NA,DHS,256,NA
"Age-mixing in sexual partnerships (young women age 15-19, any partner in the last 12 months)",5.9,2016,Total,NA,DHS,575,1153
Number of young women,575,2016,Total,NA,DHS,NA,1153
Number of young women (unweighted),1153,2016,Total,NA,DHS,575,NA
"Age-mixing in sexual partnerships (young men age 15-24, any partner in the last 12 months)",0.1,2016,Total,NA,DHS,287,308
Number of young men,287,2016,Total,NA,DHS,NA,308
Number of young men (unweighted),308,2016,Total,NA,DHS,287,NA
