Indicator,Value,SurveyYear,CharacteristicCategory,ByVariableLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted
Population using water piped into dwelling,45.5,2016,Total,NA,DHS,37205,37925
Population using a public tap/standpipe,13.6,2016,Total,NA,DHS,37205,37925
Population using a tubewell/borehole,2.8,2016,Total,NA,DHS,37205,37925
Population using a protected well,0.2,2016,Total,NA,DHS,37205,37925
Population using a protected spring,0.4,2016,Total,NA,DHS,37205,37925
Population using rainwater,0.5,2016,Total,NA,DHS,37205,37925
Population using tanker truck,2,2016,Total,NA,DHS,37205,37925
Population using bottled water/demi john,0.7,2016,Total,NA,DHS,37205,37925
Population using an unimproved water source,6.6,2016,Total,NA,DHS,37205,37925
Population using an unprotected well water,1.8,2016,Total,NA,DHS,37205,37925
Population using an unprotected spring,1.2,2016,Total,NA,DHS,37205,37925
Population using surface water,3.4,2016,Total,NA,DHS,37205,37925
Population using other water source,0.2,2016,Total,NA,DHS,37205,37925
Population: Total,100,2016,Total,NA,DHS,37205,37925
Households with water on the premises,78.5,2016,Total,NA,DHS,11083,11083
Households with water 30 minutes or less away round trip,16.4,2016,Total,NA,DHS,11083,11083
Households with water more than 30 minutes away round trip,4.5,2016,Total,NA,DHS,11083,11083
Household with unknown or missing information on round trip time to water,0.6,2016,Total,NA,DHS,11083,11083
Population with water on the premises,76.7,2016,Total,NA,DHS,37205,37925
Population with water 30 minutes or less away round trip,16.9,2016,Total,NA,DHS,37205,37925
Population with water more than 30 minutes away round trip,5.8,2016,Total,NA,DHS,37205,37925
Population with unknown or missing information on round trip time to water,0.6,2016,Total,NA,DHS,37205,37925
Households treating water by boiling,4.8,2016,Total,NA,DHS,11083,11083
Households treating water by adding bleach/chlorine,1.2,2016,Total,NA,DHS,11083,11083
Households treating water by straining through a cloth,0.1,2016,Total,NA,DHS,11083,11083
"Households treating water using a ceramic, sand or other filter",1.4,2016,Total,NA,DHS,11083,11083
Households treating water using solar disinfection,0,2016,Total,NA,DHS,11083,11083
Households treating water using other methods,0.7,2016,Total,NA,DHS,11083,11083
Households not treating water,91.9,2016,Total,NA,DHS,11083,11083
Households with missing information on treatment of water,0,2016,Total,NA,DHS,11083,11083
Households using an appropriate treatment method,7.3,2016,Total,NA,DHS,11083,11083
Number of households,11083,2016,Total,NA,DHS,NA,11083
Number of households (unweighted),11083,2016,Total,NA,DHS,11083,NA
Population treating water by boiling,4.6,2016,Total,NA,DHS,37205,37925
Population treating water by adding bleach/chlorine,1.3,2016,Total,NA,DHS,37205,37925
Population treating water by straining through a cloth,0,2016,Total,NA,DHS,37205,37925
"Population treating water using a ceramic, sand or other filter",1.2,2016,Total,NA,DHS,37205,37925
Population treating water using solar disinfection,0,2016,Total,NA,DHS,37205,37925
Population treating water using other methods,0.8,2016,Total,NA,DHS,37205,37925
Population not treating water,92.2,2016,Total,NA,DHS,37205,37925
Population with missing information on treatment of water,0,2016,Total,NA,DHS,37205,37925
Population using an appropriate treatment method,6.9,2016,Total,NA,DHS,37205,37925
Number of persons,37205,2016,Total,NA,DHS,NA,37925
Number of persons (unweighted),37925,2016,Total,NA,DHS,37205,NA
